title,date,link,abstract
Portfolio perspectives: Positioning for a regime of higher volatility,"Aug 19, 2022 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/positioning-for-higher-macro-and-market-of-volatility,Our updated CMAs and strategic views are positioned for a new regime of greater macroeconomic and market volatility.
"Portfolio perspectives: Still stocks over bonds, but the gap narrows","May 30, 2022 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/still-stocks-over-bonds-for-the-long-term,2022 has seen big market moves. We stick to our strategic views preferring stocks over nominal government bonds. Read why in our latest Portfolio perspectives.
Navigating the new market regime,"Mar 28, 2022 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/global-investment-outlook,"Much has changed since our Q1 2022 outlook - a war, energy shock and the Federal Reserve’s pivot on monetary policy. We stay underweight bonds, even as yields have sprinted upward, and overweight equities. Read more in our Q2 2022 Global Outlook."
Russia invades Ukraine,"Mar 10, 2022 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/russia-ukraine-invasion-2022,We see Russia’s invasion of Ukraine as the start of protracted tensions between Russia and the West. What are the investment implications? Read our insights.
Portfolio perspectives: Confusion yields opportunity,"Feb 23, 2022 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/confusion-yields-opportunity,"Amid the market confusion so far this year, we see an opportunity to add to our overweight to developed market equities on a strategic horizon. Read why."
Portfolio perspectives: What could go wrong?,"Nov 30, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/what-could-go-wrong,We assess how different the path of interest rates and the outlook on China would need to be to challenge our asset views
How to finance the net-zero transition in emerging markets,"Oct 29, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/financing-the-net-zero-transition,"Countries have a stake in avoiding mounting climate risk, but emerging markets will play a key role in the net-zero transition. Dive deeper in this featured insight from the BlackRock Investment Institute."
Portfolio perspectives: Getting granular,"Aug 16, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/getting-granular,"Our overweight on developed market equities is further bolstered by a more granular, sectoral approach. Learn more in the August 2021 Portfolio perspectives."
In depth: The new nominal: just getting started,"May 25, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/strategic-investments-for-the-new-nominal,The interplay between monetary and fiscal policy has dominated the post-Covid macro environment. Read more on how it informs our strategic investment views.
In depth: The case for Chinese assets,"May 5, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/investing-in-chinese-assets,"China’s economy and capital markets have rapidly grown to become the 2nd largest in the world, yet foreign investors own just 3% of its equities and bonds. Read more."
Launching climate-aware portfolios,"Feb 25, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/investing-in-climate-awareness,"We believe climate risk is investment risk. That is why we are incorporating it into our portfolio design, as part of a series of actions BlackRock is taking to prepare for a net-zero world."
Turning risk into opportunity,"Feb 23, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/turning-climate-risk-into-opportunity,Read our in-depth paper exploring how we incorporate climate change into our portfolio design - one step in a series of actions BlackRock is taking to prepare for a net-zero world.
A new investment order,"Feb 22, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/global-investment-outlook,Explore our updated our asset views in light of market developments. The BlackRock Investment Institute also explores the fiscal debate.
Davos brief,"Jan 25, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/davos-brief,"Our new Davos brief presents a snapshot of BII’s latest views on the macro outlook, geopolitics and markets – as global leaders debate the state of the world through the digital “Davos Dialogues.”"
U.S. election: Biden win,"Nov 7, 2020",https://www.blackrock.comhttps://www.blackrock.com/corporate/insights/blackrock-investment-institute/publications/us-election-2020,"In the wake of a contest between starkly different visions for America, the BlackRock Investment Institute explores the implications of the U.S. election."
Portfolio construction,,https://www.blackrock.com/institutions/en-us/insights/portfolio-design/research,Explore the portfolio construction research behind BlackRock's modern framework for strategic asset allocation and building resilient investor-specific portfolios.
Readying for resilience,"Aug 26, 2020",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/preparing-for-real-resilience,Read about how we revamp our strategic asset preferences to position for market dislocations and the post-Covid 19 world.
Troubled waters,"Jul 21, 2020",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/troubled-waters,What would the world look like with less water? We explore the often overlooked risk of water stress and its financial implications on portfolios. Take a look.
Webcast: Midyear investment outlook,"Jun 25, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1333575&tp_key=e1ee857f21,Please join us for a video webcast with BII leadership and BlackRock senior investors as they discuss the 2020 midyear investment outlook.
Historic U.S. policy actions,"Mar 26, 2020",https://www.blackrock.comhttps://www.blackrock.com/corporate/insights/blackrock-investment-institute/publications/coronavirus-us-stimulus,The U.S. announced a historic policy stimulus package to help stymie the economic impact from the COVID-19 pandemic.
Sizable policy action takes shape,"Mar 23, 2020",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/coronavirus-policy-action,We could return with limited permanent economic damage if authorities deliver a policy response to support through the shock.
Market plunge: This is not 2008,"Mar 9, 2020",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/market-plunge,"Market moves have been reminiscent of the financial crisis, but the economy and financial system are on stronger footing."
Time for policy to go direct,"Mar 9, 2020",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/coronavirus-policy-response,A coordinated policy response to the coronavirus shock is needed to avoid persistent economic damage.
Sustainability: The tectonic shift transforming investing,"Feb 27, 2020",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/sustainability-in-portfolio-construction,A commonly held view is that a return sacrifice is needed when adopting sustainable investing. We disagree – and in fact believe the opposite is true.
Coronavirus warrants caution,"Feb 26, 2020",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/coronavirus-impact-on-markets,We are reducing our overweight equity and credit exposures due to coronavirus outbreaks but maintain benchmark holdings.
How will geopolitics impact markets in 2020?,"Jan 30, 2020",https://www.blackrock.com/institutions/en-us/insights/webcasts/how-will-geopolitics-impact-markets,BlackRock experts discuss the primary risks we see facing investors.
Davos brief,"Jan 17, 2020",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/davos-brief,"The global economic expansion is stretching, but powerful structural trends are testing limits — and intersecting with the near-term outlook."
Sustainability: The bond that endures,"Nov 20, 2019",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/esg-fixed-income,Evidence is building that a focus on sustainability can help investors build more resilient portfolios.
Emerging markets: investor allocation,"Aug 12, 2022 | By Amer Bisat, Karen Leiton",https://www.blackrock.com/institutions/en-us/insights/emerging-markets-investor-allocation,"Amer Bisat and Karen Leiton engage the issue of “what is the optimal emerging markets allocation,” using three critical lenses to provide insight on the topic."
Taking stock: Q3 2022 equity market outlook,"Jul 25, 2022 | By Tony DeSpirito",https://www.blackrock.com/institutions/en-us/insights/investment-actions/taking-stock-quarterly-outlook,What to do in equity portfolios at the midyear point? Fundamental Equities CIO Tony DeSpirito assesses the backdrop and identifies three favored sectors.
Seeking resilience: 2022 Midyear Credit Outlook,"Jul 19, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/financial-markets/global-midyear-credit-outlook,BlackRock’s 2022 Global Credit Midyear Outlook looks at issues impacting credit markets this year across public and private credit.
Fundamental Equities,"Jul 15, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/education/equities/active-equities/fundamental-equities,BlackRock Fundamental Equities (FE) is a world-class active investing organization committed to applying our Expert Insight to power our portfolios.
2022 Midyear Global Outlook,"Jul 11, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/global-investment-outlook,We are braving a new world of heightened macro and market volatility. How should clients position their portfolios? Read our midyear investment outlook.
Staying calm amid market volatility,"Jul 7, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/staying-calm-amid-market-volatility,Periods of volatility like we’ve seen recently aren’t easy to live through. We hope our checklist for long-term investors will help you weather the storm.
Prepping for a Financial Hurricane,"May 18, 2022 | By Rick Rieder",https://www.blackrock.com/institutions/en-us/insights/prepping-financial-hurricane,Rick Rieder examines the causes of today’s financial conditions and shares his outlook for the economy and how to position fixed income portfolios.
Advantages of Private Equity Coinvestments,"May 12, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/the-advantages-of-private-equity-co-investments,We lay out the potential benefits of co-investments along with the historical success and growth of the co-investment industry.
Constructing Optimized Private Equity Programs,"May 12, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/constructing-optimized-private-equity-programs,"We lay out differences between diversified private equity programs investing in primaries, secondaries and co-investments."
Sizing up inflation,"May 4, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/sizing-up-inflation,BlackRock’s inflation hub features our latest market insights and investment recommendations concerning post-pandemic inflationary trends. Explore more.
The inflation challenge of an aging world,"Apr 24, 2022",https://www.blackrock.com/institutions/en-us/insights/the-inflation-challenge-of-an-aging-world,"Many factors may be contributing to inflation, but one structural cause could be an aging population. BlackRock’s Global CIO of Multi-Asset Solutions examines the demographic drivers of inflation and ways to position portfolios."
An equity investor’s guide to inflation,"Apr 22, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/equity-investor-inflation-guide,"Inflation is likely to fall from peak levels but settle higher than recent memory. Tony DeSpirito looks at stock impacts across growth, value and sectors."
Rieder- Making Sense of Uncertainty in Markets,"Apr 14, 2022 | By Rick Rieder",https://www.blackrock.com/institutions/en-us/insights/making-sense-uncertainty-markets,"Every one of the ugliest, headline-grabbing “if, then” scenarios for the global economy and markets has reasonable odds of going the other way to create a rather benign outcome."
Commodities in demand,"Mar 31, 2022 | By Gargi Pal Chaudhuri",https://www.blackrock.com/institutions/en-us/insights/commodities-in-demand,Heightened geopolitical and inflationary pressures this year have put a spotlight on how investors use for a dual purpose: a potential hedge against inflation and adding portfolio diversification in a rising rate environment.
Infrastructure Investment & Jobs Act,"Mar 22, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/infrastructure-investment-and-jobs-act,"In this Real Assets viewpoint, explore key takeaways for investors from the Infrastructure Investment & Jobs Act, including where private capital can come in to complement public spending."
Navigating geopolitical uncertainty,"Mar 22, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/navigating-geopolitical-uncertainty,"Explore BlackRock’s geopolitical hub, featuring insights on the Ukraine crisis and its potential impact on global economies, markets, and investors."
A stagflationary shock,"Mar 18, 2022 | By Jeffrey Rosenberg, CFA",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/systematic-fixed-income-outlook,The geopolitical crisis in Ukraine creates a stagflationary shock for global economies and fighting inflation just got more complex for global central banks. Read more in the spring 2022 Systematic Fixed Income Outlook.
Building for growth,"Mar 16, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/blackrock-future-forum/building-for-growth,"Senator Rob Portman, Dow CEO Jim Fitterling and BlackRock investors discuss infrastructure modernization’s impact on economic opportunities and portfolio implications. Explore the replays from our BlackRock Future Forum infrastructure special."
Accelerants of growth: Fiscal spend and policy Q&A with Rick Rieder,"Feb 11, 2022",https://www.blackrock.com/institutions/en-us/insights/accelerants-of-growth-digest,"What is the path for fiscal and monetary policy in 2022? Rick Rieder discusses his outlook and explains why demand for fixed income will continue to exceed expectations, holding yields in check even amid historically high inflation."
What lies ahead for fiscal spending and monetary policy?,"Feb 10, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/fiscal-spending-and-policy,"BlackRock’s fiscal spending and monetary policy hub features our latest insights on the impact of government fiscal spending and monetary policies on the macroeconomic landscape, markets, and specific asset classes."
Resilience and adaptation,"Dec 29, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/2022-private-markets-outlook,"As investors seek to navigate an unprecedented market regime, we see private market investments as well-suited to the task. Read more in the 2022 Private Markets Outlook."
U.S. investors should help fix our infrastructure,"Dec 17, 2021",https://www.blackrock.com/institutions/en-us/insights/investment-actions/us-investors-fix-infrastructure,"Zach Buchwald, head of USCA Institutional Business, gives his insight on the state of U.S. infrastructure and the opportunities that investors may have to help."
Taking stock: Q1 2022 equity market outlook,"Dec 15, 2021",https://www.blackrock.com/institutions/en-us/insights/investment-actions/taking-stock-quarterly-outlook,What might equity investors expect in 2022? Active stock picker Tony DeSpirito reviews the potential positives and impediments in his Q1 market outlook.
It’s not the 1970s again: A comparison of markets,"Nov 30, 2021",https://www.blackrock.com/institutions/en-us/insights/comparing-todays-markets-with-the-1970s,"Rick Rieder and team examine the parallels, or lack of them, between the economy, markets and policy of the 1970s and today."
How the Paris Agreement is shaping equity investing,"Nov 16, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/equity-investing-paris-agreement,The 2015 Paris Agreement sets a global standard for preventing climate change. Learn how it’s changing the way equity investors uncover alpha today.
A multi-asset approach to navigating net zero,"Oct 20, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/multi-asset-approach-net-zero,"In this featured insight, we focus on the practical implications of moving from climate pledges to practice for multi-asset investors by sharing our preferred framework."
There’s more than an underwater beach ball in today’s investment pool,"Sep 30, 2021",https://www.blackrock.com/institutions/en-us/insights/beach-ball-investment-pool,"In this insight, Rick Rieder and team examine the myriad investment opportunities that are available in an environment dominated by negative real interest rates."
Building inflation-resilient portfolios,"Sep 27, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/inflation-resilient-portfolios,"Today’s inflation and market environment calls for a thoughtful, whole portfolio approach to meeting client’s objectives. Diversification and dynamism may help, which we explore in our latest insight."
New developments in quantitative investing,"Sep 9, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/new-developments-in-quantitative-investing,Quantitative pioneers Ronald Kahn and Richard Grinold share their views on the evolution of quantitative investing and recent advances in portfolio management.
Inflation and real assets,"Aug 10, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/inflation-and-real-assets,Read why real assets may perform well in periods of higher inflation and which strategies real assets investors should deploy in a higher inflationary environment.
Higher inflation: turning threat into opportunity,"Aug 4, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/higher-inflation-threat-into-opportunity.pdf,"Due to a combination of strong demand as many economies restart post COVID lockdowns and widespread supply bottlenecks, inflation has been surging in many parts of the world. How can we prepare for inflationary outcomes in a whole portfolio context?"
Global Impact Annual Report,"Jul 21, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-impact-annual-report,Our report captures the reality of the challenges we face amid the ongoing global pandemic as well as the resilient responses that many impact enterprises offer as solutions. Explore more in BlackRock’s inaugural Global Impact Annual Report.
Q2 2021 OIG digest,"Jul 15, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/q2-2021-official-institutions-digest.pdf,"As we close out the first half of 2021, investors are becoming increasingly concerned over inflation and the delta variant, while sustainability remains top of mind for global official institutions. Read more about our outlook and key trends."
Is it too late to invest in healthcare and tech?,"Jun 30, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/healthcare-and-tech-investing.pdf,"Recent weeks have seen volatility in equity markets, and particularly bumpy performance for tech and healthcare. Is the run-up of these star sectors coming to a halt as the post-pandemic era sets in? We do not think so."
Addressing the US$23 trillion dragon in the room,"Jul 1, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/addressing-chinas-trillion-dollar-dragon,"In 2020, China’s onshore equity and bond markets combined to be over US$23 trillion in assets, but China remains a small fraction of most investor portfolios. We explore more in our Q&A."
Impact investing in public equities,"Jun 28, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/impact-investing-in-public-equities,Impact investing in public equities can help accomplish two objectives: generate financial outperformance and provide a differentiated source of alpha. Read more in our report.
The growing opportunity in China’s private markets,"Jun 25, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/growing-opportunity-in-chinas-private-markets,"In this blog, we explore the potential of private financing arrangements and why global investors are looking to put capital to work in Chinese markets."
Private equity: finding the informational advantage,"Jun 16, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/informational-advantage-in-private-equity,Using alternative data in private equity has the potential to revolutionize deal sourcing and improve the probability of investment success in private markets.
A dynamic restart,"Jun 21, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/financial-markets/global-midyear-credit-outlook,"We examine the state of play in global credit at midyear, tracking progress on our 2021 themes and re-underwriting their relevance going forward."
Opportunities for yield and income in China,"Jun 14, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/opportunities-for-yield-and-income-in-china,We explore what’s driving Chinese fixed income markets and how investors can benefit from higher yields and diversification across the credit and duration spectrum.
Expanding the real assets toolkit,"Jun 3, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/real-assets-toolkit,"Leveraging the full spectrum of real asset investments may be key to capitalizing on cyclical recovery opportunities. Learn more across three asset classes: infrastructure equity, infrastructure debt, and listed real assets."
Credit’s next chapter,"May 14, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/credits-next-chapter,"Amid easy financial conditions but rapid change, we see credit markets creating more options for companies seeking financing and for investors seeking yield."
A range of Covid trajectories in emerging markets,"Apr 16, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/covid-trajectories-in-emerging-markets,"The pandemic has hit each country in unique ways. Understanding the local and global investment implications takes deep, country-by-country analysis."
Invest with impact,"Apr 14, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/invest-with-impact,"Our paper supports impact investing in public equities by reference to additionality through the investor’s contribution, the investee, and the asset class."
Delivering outcomes by accessing ESG,"Apr 14, 2021",https://www.blackrock.com/institutions/en-us/insights/investment-actions/delivering-outcomes-by-accessing-esg,"We outline our belief that incorporating ESG insights can improve investment outcome. This can be done through our index, factor, and alpha framework."
Thematic investing in the time of Coronavirus,"Apr 13, 2021",https://www.blackrock.com/institutions/en-us/insights/investment-actions/thematic-investing-during-a-pandemic,The Coronavirus pandemic has ushered in countless changes in our daily lives. We see opportunities to capitalize on these changes through thematic investing.
The pandemic and the credit spectrum,"Mar 31, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/pandemic-and-credit-spectrum,"Credit markets are strong. But behind the headlines, a more complex story is unfolding as long-running trends intersect with Covid’s economic consequences."
Optimizing private market portfolios,"Mar 25, 2021",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1440380&tp_key=6c495b1048,"Today’s larger, more diverse private-asset allocations call for quantitative portfolio construction techniques. In this webcast, BlackRock senior investors and researchers will discuss a new framework for optimizing private markets portfolios."
Private market opportunities in China,"Mar 10, 2021",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1300142&tp_key=baf6220128,Join our investors for an overview of China's dynamic private markets and drill-down into the local opportunity sets.
Optimizing private markets portfolios,"Mar 5, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/better-private-market-portfolios,"Investors with larger, more diverse allocations to private assets need greater precision in portfolio construction. Data science techniques can help."
LDI in a rising rate environment,"Feb 26, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/ldi-rising-rate-environment,"How have corporate pensions been responding to rising rates, and how should we think about LDI in a rising rate world?"
BlackRock sector outlook 2021: Healthcare,"Feb 19, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/healthcare-outlook,The pandemic put the healthcare sector front and center in 2020 and 2021 as development of therapies and vaccines to combat COVID-19 got underway.
A lens on emerging market equities,"Feb 19, 2021",https://www.blackrock.com/institutions/en-us/insights/investment-actions/emerging-market-equities-newsletter,"Emerging market (EM) equities defied early gloom last year and ended with double -digit gains, outperforming developed markets."
Sourcing deals in today's private markets,"Feb 10, 2021",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1300142&tp_key=baf6220128,"Join us for insights into global deal flow and our views on effective sourcing in today’s private credit, private equity and real asset markets"
Private markets 2021: Staying on track in a world of change,"Jan 13, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/private-markets,"An integrated view of private markets has never been more important. Explore highlights from our start-of-the-year webcast, with investors looking at deployment, investment themes and possible surprises in real assets, credit and private equity."
Real assets in the year ahead,"Jan 13, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-real-assets-outlook,Read our 2021 Global Real Assets Outlook for insights into how real estate and infrastructure investors can pursue their goals amid deep structural changes and an uneven global recovery.
What we expect in credit markets,"Jan 13, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-credit-outlook,"Credit markets are seeing greater demand in a low yield world. In our 2021 Global Credit Outlook, we offer investors three themes to steer by as they navigate public and private credit markets in the year ahead."
Private markets 2021 webcast,"Jan 6, 2021 | By BlackRock",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1415242&tp_key=bfeb707e54,"Join us for our views on how 2021 may unfold across the private markets spectrum, with insights on opportunities in real assets, credit and private equity."
ESG moves centre stage in private debt,"Dec 21, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/private-debt-esg,"Private debt strategies can work with borrowers on ESG issues. Sonia Richer, Head of Research for European Middle Market Private Debt, explains how."
Emerging markets in the spotlight,"Dec 16, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/emerging-markets-in-spotlight,BlackRock’s leading emerging market investors explain why they are bullish on EM in 2021 and where they see the best opportunities in equity and debt.
A different kind of distressed-credit cycle,"Nov 16, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/distressed-credit-cycle,The pandemic is likely to drive a significant wave of restructuring that calls for a broader range of solutions than seen in prior cycles.
2020: A Year of BifurKation,"Nov 15, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/market-pulse/2020-year-of-bifurkation,An increasing body of evidence suggests the economic recovery from the Covid-19 pandemic is K-shaped – implying a distinct bifurcation of outcomes.
New perspectives on macro investing,"Oct 15, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/evolving-approach-to-macro-investing,"BlackRock’s systematic team explains how using big data and machine learning can produce differentiated macro insights, and why these insights are especially relevant in the current climate."
The evolution of private equity,"Oct 23, 2020",https://www.blackrock.com/institutions/en-us/insights/investment-actions/private-equity-evolution,We explore the historical evolution and outperformance of private equity over the last four decades and the outlook for the next decade.
Fixed income style factors,"Oct 15, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/fixed-income-style-factors,The fundamental investment concepts underlying style factor investing can be applied in fixed income.
Global Credit Forum,"Sep 30, 2020",https://www.blackrock.com/institutions/en-us/strategies/credit/global-credit-forum,"Explore the on-demand content from our virtual Global Credit Forum in September 2020, where BlackRock leaders were joined by industry experts."
New perspectives on macro investing,"Sep 11, 2020",https://www.blackrock.com/institutions/en-us/insights/investment-actions/evolving-approach-to-macro-investing,"In today’s fast-changing market, a proper understanding of the macroeconomic environment is essential to investing."
GTAA: An overlooked driver of performance,"Aug 31, 2020",https://www.blackrock.com/institutions/en-us/insights/investment-actions/gtaa-a-driver-of-performance,We explore the uncorrelated return profile and application of alternative data in our GTAA investment framework.
Navigating the beta gap,"Aug 31, 2020",https://www.blackrock.com/institutions/en-us/insights/investment-actions/navigating-beta-gap,Learn how multi-asset strategies deliver investment outcomes with more precision.
